Title,In P,Date,Type,Authors,Trainee,Publication,Series,Vol,Num,pp,Editors,Venue,Publisher,DOI,ISBN,URL,URL2,Abstract,Accolades,Commentary,year,month,monthname,bibtex_entrytype,bibtex_id
Third-Order Ambisonic Extensions for Max/MSP with Musical Applications.,,2006/8,Conference,"Wakefield, Graham; ",,Proceedings of the International Computer Music Conference,,,,123-126,"Georg Essl, Ichiro Fujinaga","New Orleans, USA",International Computer Music Association,,0-9713192-4-3,http://quod.lib.umich.edu/i/icmc/bbp2372.2006.027/-third-order-ambisonic-extensions-for-maxmsp-with-musical?view=image,http://hdl.handle.net/2027/spo.bbp2372.2006.027,This paper describes a package of extensions (externals) for Cycling `74's Max/MSP software to facilitate the exploration of Ambisonic techniques of up to third order. Areas of exploration well suited to the Max/MSP environment and techniques for composition within the Ambisonic domain using the presented externals are described.,,,2006,8,August,inproceedings,wakefield_2006_thirdorderambisonicextensionsformaxmspwithmusicalapplications
"A platform for computer music composition, Interleaving Sample-Accurate Synthesis and Control",,2007/7,MS Thesis,"Wakefield, Graham David; ",,,,,,,"Roads, Curtis; Kuchera-Morin, JoAnn; Novak, Marcos; Pope, Stephen","Santa Barbara, USA",University of California Santa Barbara,,,http://www.mat.ucsb.edu/~wakefield/pubs/07_Wakefield_MSThesis_Vessel.pdf,,"The rich new terrains offered by computer music invite the exploration of new techniques to compose within them. The computational nature of the medium has suggested algorithmic approaches to composition in the form of generative musical structure at the note level and above, and audio signal processing at the level of individual samples. In the region between these levels, the domain of microsound, we may wish to investigate the musical potential of sonic particles that interrelate both signal processing and generative structure. In this thesis I present a software platform (`Vessel') for the exploration of such potential. In particular, a solution to the efficient scheduling of interleaved sound synthesis and algorithmic control with sample accuracy is expounded. The formal foundations, design and implementation are described, the project is contrasted with existing work, and avenues for musical application and future exploration are proposed.",,,2007,7,July,mastersthesis,wakefield_2007_aplatformforcomputermusiccompositioninterleavingsampleaccuratesynthesisandcontrol
Real-time multimedia composition using lua,,2007/7,Conference,"Smith, Wesley; ",,Proceedings of the Digital Art Weeks,,,,,Stefan M&uuml;ller Arisona,"Zurich, Switzerland",Digital Art Weeks International,,,,,"In this paper, we present a new interface for programming multimedia compositions in Max/ MSP/Jitter using the Lua scripting language. Lua is extensible and efficient making it an ideal choice for designing a programmatic interface for multimedia compositions. First, we discuss the distinctions of graphical and textual interfaces for composition and the requirements for a productive compositional workflow, and then we describe domain specific implementations of Lua bindings as Max externals for graphics and audio in that order.",,,2007,7,July,inproceedings,smith_2007_realtimemultimediacompositionusinglua
Experiencing audio and music in a fully immersive environment,,2007/8,Conference,"Amatriain, Xavier; Castellanos, Jorge; Höllerer, Tobias; Kuchera-Morin, JoAnn; Pope, Stephen T; Wakefield, Graham; Wolcott, Will; ",,International Symposium on Computer Music Modeling and Retrieval: Sense of Sounds,Information Systems and Applications,4969,,380-400,"Richard Kronland-Martinet, S&oslashlvi Ystad, Kristoffer Jensen",,"Springer, Berlin, Heidelberg",10.1007/978-3-540-85035-9,978-3-540-85034-2,http://link.springer.com/chapter/10.1007%2F978-3-540-85035-9_27,http://dx.doi.org/10.1007/978-3-540-85035-9,"The UCSB Allosphere is a 3-story-high spherical instrument in which virtual environments and performances can be experienced in full immersion. The space is now being equipped with high-resolution active stereo projectors, a 3D sound system with several hundred speakers, and with tracking and interaction mechanisms. The Allosphere is at the same time multimodal, multimedia, multi-user, immersive, and interactive. This novel and unique instrument will be used for research into scientific visualization/auralization and data exploration, and as a research environment for behavioral and cognitive scientists. It will also serve as a research and performance space for artists exploring new forms of art. In particular, the Allosphere has been carefully designed to allow for immersive music and aural applications. In this paper, we give an overview of the instrument, focusing on the audio subsystem. We give the rationale behind some of the design decisions and explain the different techniques employed in making the Allosphere a truly general-purpose immersive audiovisual lab and stage. Finally, we present first results and our experiences in developing and using the Allosphere in several prototype projects.",,,2007,8,August,inproceedings,amatriain_2007_experiencingaudioandmusicinafullyimmersiveenvironment
Using lua for multimedia composition,,2007/8,Conference,"Wakefield, G; Smith, W; ",,Proceedings of the International Computer Music Conference,,,,341-344,,"Copenhagen, Denmark",International Computer Music Association,,,,,"In this paper, we present new opportunities to overcome some of the inherent limitations of a visual data-flow environment such as Max/MSP/Jitter, by using domain specific (audio and graphical) extensions of the Lua programming language as libraries (externals). Lua is flexible, extensible and efficient, making it an ideal choice for designing a programmatic interface for multimedia composition.",,,2007,8,August,inproceedings,wakefield_2007_usingluaformultimediacomposition
Computational audiovisual composition using lua,,2008/1,Chapter,"Smith, Wesley; Wakefield, Graham; ",,"Transdisciplinary Digital Art. Sound, Vision and the New Screen",Communications in Computer and Information Science,7,,213-228,"Randy Adams, Steve Gibson, Stefan M&uuml;ller Arisona",,Springer Berlin Heidelberg,10.1007/978-3-540-79486-8,978-3-540-79486-8,http://link.springer.com/chapter/10.1007/978-3-540-79486-8_19,http://dx.doi.org/10.1007/978-3-540-79486-8,"We describe extensions to the Lua programming language constituting a novel platform to support practice and investigation in computational audiovisual composition. Significantly, these extensions enable the tight real-time integration of computation, time, sound and space, and follow a modus operandi of development going back to immanent properties of the domain.",,,2008,1,January,incollection,smith_2008_computationalaudiovisualcompositionusinglua
"The AlloBrain: an interactive stereographic, 3D audio immersive environment",,2008/4,Conference,"Wakefield, Graham; Kuchera-Morin, JoAnn; Novak, Marcos; Overholt, Dan; Putnam, Lance; Thompson, John; Smith, Wesley; ",,CHI Conference Workshop on Sonic Interaction Design,,,,,Davide Rocchesso et al.,"Florenz, Italy",ACM,,978-1-60558-012-8/08/04,,,"This document describes the AlloBrain, the debut content created for presentation in the AlloSphere at the University of California, Santa Barbara, and the Cosm toolkit for the prototyping of interactive immersive environments using higher-order Ambisonics and stereoscopic projections. The Cosm toolkit was developed in order to support the prototyping of immersive applications that involve both visual and sonic interaction design. Design considerations and implementation details of both the Cosm toolkit and the AlloBrain are described in detail, as well as the development of custom human-computer interfaces and new audiovisual interaction methodologies within a virtual environment.",,"The article introduces the first project created for the CNSI AlloSphere at UC Santa Barbara (a 3-storey spherical CAVE-like environment), which provides an interactive, navigable world visualizing and sonifying fMRI brain data, of which I was the primary implementor. The article was extended for the International Journal of Human Computer Studies.",2008,4,April,inproceedings,wakefield_2008_theallobrainaninteractivestereographic3daudioimmersiveenvironment
Instructional Tools in Educational Measurement and Statistics (ITEMS) for School Personnel: Evaluation of Three Web‐Based Training Modules,,2008/6,Journal,"Zwick, Rebecca; Sklar, Jeffrey C; Wakefield, Graham; Hamilton, Cris; Norman, Alex; Folsom, Douglas; ",,Educational Measurement: Issues and Practice,,27,2,14-27,,,Wiley Online Library,,,,,,,,2008,6,June,article,zwick_2008_instructionaltoolsineducationalmeasurementandstatisticsitemsforschoolpersonnelevaluationofthreewebbasedtrainingmodules
Artificial Nature as an Infinite Game,,2008/7,Conference,"Ji, Haru; Wakefield, Graham; ",,Proceedings of ASIAGRAPH,,,,,,"Shanghai, China",ASIAGRAPH,,,,,"A virtual embodiment of an auto-creative world: generative, interactive transmodal media art installation bringing forth an ecosystem of creativity through a meshwork of strata (geo-, chemo-, bio-, sono-), re-questioning the meanings and relationships of nature, culture, life and beauty.",,,2008,7,July,inproceedings,ji_2008_artificialnatureasaninfinitegame
Artificial Nature as an Infinite Game,,2008/8,Conference,"Ji, Haru; Wakefield, G; ",,Proceedings of the International Symposium of Electronic Arts,,,,256-258,"Hoofd, Ingrid Maria; Tan, Margaret; Ying, Katharine Ho Kit",Singapore,The Inter-Society for the Electronic Arts,,978-981-08-0768-9,,,"Artificial Nature as an Infinite Game' is a trans-modal media art installation consisting of an evolutionary virtual world with a physical user interface. This virtual world is a complex, open, dynamical and dissipative system, interweaving physico-chemical, biological and symbolic strata. In actual space, spectators can witness, control and discover beautiful, generative and abstract spatio-temporal patterns evolving from the behaviors of A-life agencies in the virtual space, while the art work itself is questioning of a new understanding the concept of beauty and creativity in nature, culture and actual, virtual world.",,,2008,8,August,inproceedings,ji_2008_artificialnatureasaninfinitegame
