title,where,date,date_end,how,scope,artwork,media,artist,where_url,event_url,annote,url,notes
"Interactive Media Theatre","MOXI Museum of Exploration of Innovation, Santa Barbara, USA","2017-08-10","2018-01-08","Commissioned","International","Inhabitat","Sand-sculpture augmented reality, head-mounted virtual reality, large-scale projection","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"First Thursday Festival","SBCAST, Santa Barbara, USA","2017-08-03","","Curated","Local","Portrait","LED display with Korean traditional paper, Raspberry Pi","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Currents New Media Festival","El Museo Cultural, Santa Fe, USA","2017-06-09","2017-06-25","Juried","International","Portrait","LED display with Korean traditional paper, Raspberry Pi","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"SV+VS (Sonifying Visuals+Visualizing Sound)","Gallery MUN, Dongdaemun Design Plaza, Seoul, Korea"," 2016-08-20","2016-09-18","Curated","International","Endless Current","Multi-projector interactive installation or personal head-mounted display","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Currents New Media Festival","El Museo Cultural, and also the Digital Dome at the Institute of American Indian Arts, Santa Fe, USA"," 2016-06-10","2016-06-26","Juried","International","Endless Current","Multi-projector interactive installation or personal head-mounted display","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Wordless Word","Array Space, Toronto, Canada","2016-05-10","","Curated","National","Live Electronic Music","","Graham Wakefield","","","","",""
"Globale Renaissance 2.0 - Exo:Evolution","Center for Art and Media (ZKM) Mediamuseum, Karlsruhe, Germany","2015-10-30","2016-02-28","Curated","International","Time of Doubles","Multi-projector interactive installation","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","http://on1.zkm.de/zkm/e/","http://zkm.de/en/event/2015/10/globale-exo-evolution","","",""
"IEEE VIS Arts Program","LeRoy Neiman Center, School of the Art Institute of Chicago, USA"," 2015-10-16","2015-10-30","Juried","International","Endless Current","Multi-projector interactive installation or personal head-mounted display","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Seoul Sangsangryok Baljeonso (Imagination Powerhouse)","City Hall, Seoul, Korea","2015-02-16","2015-02-27","Invited re-exhibit","International","Archipelago","Sand-sculpture with multiple projections and shadow interactions","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
"Capitaine Futur","La Gat Lyrique, Paris, France","2014-10-08","2015-02-08","Curated","International","Archipelago","Sand-sculpture with multiple projections and shadow interactions","Artificial Nature: Haru (Hyunkyung) Ji and Graham Wakefield","","","","",""
