external,inreview,date,amount,source,where,program,role,annote,percentage,title,leader,end-date,hours_per_month,date_end
"","","2017","$2,500","School of Arts, Media, Performance & Design, York University","Canada","Minor Research Grant","Sole applicant","For exhibition at MOXI.","","","","","",""
"true","true","2016","$150,000","Social Sciences and Humanities Research Council","Canada","Early Researcher Award","Sole applicant","Virtual Reality (VR) is poised to revolutionize creative industries, yet lacks refined VR-native authoring tools. Our research will develop novel interaction concepts and software tools that exploit the medium’s unique affordances for artists of all kinds to create worlds while fully immersed within them. We will augment continuous hand gestures with simulated physics for intuitive freeform modeling with rich, fluid complexity, and develop new paradigms of programming VR live utilizing directly manipulable and spatially meaningful representations for collaborative multi-user productivity. This research is ideally timed to address VR’s vital needs and underpin Ontario’s rapidly growing digital media economy and communities.","0.25","Collaboratively Creating Virtual Reality From Within Virtual Reality","","","",""
"true","true","2016","$33,338,000","Canada Foundation for Innovation (CFI)","Canada","Canada First Research Excellence Fund (CFREF)","Co-applicant","Blending psychophysical, physiological and computational approaches, VISTA will create a novel, interdisciplinary paradigm in visual neuroscience and computer vision. VISTA will propel Canada’s global leadership in vision research, which would translate into long-term economic benefits for Canada in four top-priority industry sectors: health and aging, robotics, 3D film and digital media, and surveillance and transportation.","0.01","Vision: Science to Applications (VISTA)","R. Hache","","",""
"true","true","2016","$1,800,000","Canada Foundation for Innovation (CFI)","Canada","Innovation Fund","Co-applicant","To address the lack of properly instrumented real world environments for 'scene understanding', within which normal human behaviour and interactions can be analyzed.","","Sensory Blanket and Interactive Display","Jenkin, Michael","","",""
"true","true","2016","$25,000","Social Sciences and Humanities Research Council","Canada","Connections Grant","Co-applicant","","0.25","Live Coding: Networks, Interpretation and Applications","David Ogborn","","",""
"","","2016","$1,500","School of Arts, Media, Performance & Design, York University","Canada","Minor Research Grant","Sole applicant","For launch of Endless Current VR.","","","","","",""
"true","true","2015","$73,978","Ontario Research Fund","Canada","Small Infrastructure Fund","Sole applicant","Infrastructure grant to equip research lab, affiliated with CRC appointment.","","Computational Worldmaking Laboratory","","2019","",""
"true","true","2015","$2,447,000","Social Sciences and Humanities Research Council","Canada","Partnership Grant","Co-applicant","A 6-year multi-institution international partnership group supporting the development of novel, biologically-inspired responsive architecture through graduate research positions, 'living lab' installations, conferences, seminar series, publications and software/hardware knowledge transfer.","0.0092353158478","Living Architecture Systems","Philip Beesley","","",""
"true","","2015","$500,000","Social Sciences and Humanities Research Council","Canada","Canada Research Chairs program","Sole applicant","","","Canada Research Chair (Tier II) in Interactive Information Visualization","","","",""
"true","","2015","$73,978","Canada Foundation for Innovation (CFI)","Canada","John Evans Leaders’ Fund","Sole applicant","Infrastructure grant to equip research lab, affiliated with CRC appointment.","","Computational Worldmaking Laboratory","","","",""
"","","2015","$1,500","School of Arts, Media, Performance & Design, York University","Canada","Minor Research Grant","Sole applicant","Accompanying the Canada Research Chair appointment.","","","","","",""
"true","","2014","$32,000","Seoul Foundation for Arts and Culture","Republic of Korea","Sangsanglyok Baljeonso (Imagination Powerhouse) Project","Co-applicant","Infrastructure for extended art exhibit; awarded 1st prize in juried competition.","0.5","Archipelago at Seoul City Hall","Ji, Haru (Hyunkyung)","","",""
"","","2014","$1,000","York University Faculty Association","Canada","Travel Grant","Sole applicant","","","","","","",""
"true","","2014","$8,500","Daejeon Culture and Arts Foundation","Republic of Korea","Artience Program","Co-applicant","Infrastructure, travel & accommodation.","","Endless Current at Artience Art/Science Openlabs","Wakefield, Graham","","",""
"true","","2013","$9,800","Edith Kinney Gaylord Cornerstone Arts Center","Colorado Springs, USA","","Co-applicant","Travel, accommodation, per diem.","0.5","Archipelago at Inter Disciplinary Experimental Arts","Wakefield, Graham","","",""
"true","","2012","$15,000","Robert W. Deutsch Foundation","USA","Postdoctoral Research Fellowship","Sole applicant","Conducted at the AlloSphere, California Nanosystems Institute, Santa Barbara","","","","","140",""
"true","","2011","$5,300","Arts Council Korea","Republic of Korea","International Exchange of Arts and Culture Grant","Co-applicant","Infrastructure.","0.5","Time of Doubles at SIGGRAPH","Ji, Haru (Hyunkyung)","","",""
"true","","2011","$40,000","Robert W. Deutsch Foundation","USA","Graduate Research Fellowship","Sole applicant","Conducted at the AlloSphere, California Nanosystems Institute, Santa Barbara.","","","","","50","2012"
"","","2011","$1,000","Media Arts & Technology Program, University of California Santa Barbara","USA","Travel Grant","Sole applicant","Travel & accommodation.","","Time of Doubles at Seoul Olympic Museum of Art","","","",""
"true","","2010","$11,000","Seoul Foundation of Arts and Culture","Republic of Korea","Arts and Culture Support Award","Co-applicant","Travel and accommodation.","0.5","City Life Media Façade","Ji, Haru (Hyunkyung)","","",""
"true","","2010","$40,000","Center for Nanomedicine Research, Sanford Burnham Medicine Research Institute","USA","Graduate Research Fellowship","Sole applicant","Simulation of tumor-targeting nanomedicine drug delivery, conducted at the AlloSphere, California Nanosystems Institute, Santa Barbara.","","","","","50","2011"
"","","2009","$5,000","Media Arts & Technology Program, University of California Santa Barbara","USA","Matching Grant","Co-applicant","Infrastructure, travel & accommodation for an exchange exhibition held in Seoul, Republic of Korea.","","Machine Dreams international exhibition","Ji, Haru (Hyunkyung)","","",""
"true","","2007","$24,000","National Science Foundation","USA","Integrative Graduate Education and Research Traineeship (IGERT)","Sole applicant","","","Graduate Research Assistance in the AlloSphere Research Group","","","50","2009"
